2012-07-21 18:00:00.483833  29.24037394336 -87.60410741841
2012-07-21 18:15:00.486717  29.23973193966 -87.60306645192
2012-07-21 18:30:00.489600  29.23903488032 -87.60218123310
2012-07-21 18:45:00.492473  29.23832505496 -87.60128620126
2012-07-21 19:00:00.495357  29.23766412368 -87.60025765344
2012-07-21 19:15:00.498240  29.23711731304 -87.59904882136
2012-07-21 19:30:00.501113  29.23673174136 -87.59767910803
2012-07-21 19:45:00.503997  29.23651904250 -87.59619583890
2012-07-21 20:00:00.506880  29.23645122029 -87.59463922619
2012-07-21 20:15:00.509753  29.23647278887 -87.59303036698
2012-07-21 20:30:00.512637  29.23652356467 -87.59138081956
2012-07-21 20:45:00.515520  29.23655715519 -87.58970827731
2012-07-21 21:00:00.518393  29.23654261334 -87.58804350291
2012-07-21 21:15:00.521277  29.23645430501 -87.58642430826
2012-07-21 21:30:00.524160  29.23626769651 -87.58488347804
2012-07-21 21:45:00.527033  29.23597160480 -87.58344064869
2012-07-21 22:00:00.529917  29.23558898683 -87.58210194812
2012-07-21 22:15:00.532800  29.23518622314 -87.58086354523
2012-07-21 22:30:00.535674  29.23485709671 -87.57971440976
2012-07-21 22:45:00.538557  29.23468640289 -87.57863802384
2012-07-21 23:00:00.541440  29.23471207311 -87.57761618178
2012-07-21 23:15:00.544314  29.23490531577 -87.57663711002
2012-07-21 23:30:00.547197  29.23517863281 -87.57570492041
2012-07-21 23:45:00.550080  29.23541911780 -87.57484237502
2012-07-22 00:00:00.552954  29.23553474892 -87.57408095872
2012-07-22 00:15:00.555837  29.23549523126 -87.57344222350
2012-07-22 00:30:00.558720  29.23534818620 -87.57292372952
2012-07-22 00:45:00.561594  29.23520195759 -87.57250012710
2012-07-22 01:00:00.564477  29.23518450760 -87.57213677790
2012-07-22 01:15:00.567360  29.23539862813 -87.57180554972
2012-07-22 01:30:00.570234  29.23589079570 -87.57149636366
2012-07-22 01:45:00.573117  29.23664347442 -87.57122231614
2012-07-22 02:00:00.576001  29.23759278616 -87.57101617215
2012-07-22 02:15:00.578874  29.23866326403 -87.57091817596
2012-07-22 02:30:00.581757  29.23980325648 -87.57096027480
2012-07-22 02:45:00.584641  29.24100495606 -87.57115424477
2012-07-22 03:00:00.587514  29.24230058665 -87.57148832815
2012-07-22 03:15:00.590397  29.24373637729 -87.57193253343
2012-07-22 03:30:00.593281  29.24533727915 -87.57244990384
2012-07-22 03:45:00.596154  29.24708278965 -87.57300935229
2012-07-22 04:00:00.599037  29.24890940391 -87.57359444007
2012-07-22 04:15:00.601921  29.25073882057 -87.57420270575
2012-07-22 04:30:00.604794  29.25251324924 -87.57483395538
2012-07-22 04:45:00.607677  29.25421457681 -87.57547412604
2012-07-22 05:00:00.610561  29.25585874562 -87.57608769030
2012-07-22 05:15:00.613434  29.25747617758 -87.57662731757
2012-07-22 05:30:00.616317  29.25909440122 -87.57705517995
2012-07-22 05:45:00.619201  29.26072984633 -87.57735926106
